week,weekly_trimp,acute_7d,chronic_28d,ac_ratio
2024-01-16,155.86666666666667,155.86666666666667,39.65416666666667,3.9306504150467583
2024-01-23,185.64999999999998,185.64999999999998,85.91666666666666,2.1608147429679923
2024-01-30,109.06666666666668,109.06666666666668,112.64583333333334,0.9682263732199001
2024-02-06,47.91666666666667,47.91666666666667,124.625,0.3844867937144768
2024-02-13,9.583333333333332,9.583333333333332,88.05416666666667,0.10883452420385177
2024-03-12,12.916666666666666,12.916666666666666,44.87083333333334,0.28786331135667187
2024-03-19,4.633333333333333,4.633333333333333,18.7625,0.24694648012436152
2024-03-26,8.916666666666666,8.916666666666666,9.0125,0.9893666204345816
2024-04-02,22.216666666666665,22.216666666666665,12.170833333333333,1.825402259500171
2024-04-09,5.9,5.9,10.416666666666666,0.5664
2024-04-16,1.8,1.8,9.708333333333334,0.1854077253218884
2024-04-30,20.166666666666664,20.166666666666664,12.520833333333332,1.6106489184692179
2024-05-07,20.683333333333334,20.683333333333334,12.1375,1.704085135599039
2024-05-14,6.833333333333334,6.833333333333334,12.370833333333334,0.5523745368811048
2024-05-21,5.1,5.1,13.195833333333333,0.38648563309125356
2024-05-28,11.033333333333333,11.033333333333333,10.912500000000001,1.0110729285987017
2024-06-04,22.483333333333334,22.483333333333334,11.3625,1.9787312064539786
2024-06-11,3.9000000000000004,3.9000000000000004,10.629166666666666,0.3669149353194826
2024-06-18,29.250000000000004,29.250000000000004,16.66666666666667,1.7549999999999997
2024-06-25,5.533333333333333,5.533333333333333,15.291666666666668,0.3618528610354223
2024-07-02,0.2833333333333333,0.2833333333333333,9.741666666666669,0.02908468776732249
2024-07-09,6.183333333333334,6.183333333333334,10.312500000000002,0.5995959595959596
2024-07-16,8.65,8.65,5.1625,1.6755447941888622
2024-07-23,9.016666666666667,9.016666666666667,6.033333333333333,1.494475138121547
2024-08-06,7.7666666666666675,7.7666666666666675,7.904166666666667,0.9826041117554034
2024-08-13,7.066666666666667,7.066666666666667,8.125000000000002,0.8697435897435897
2024-08-20,2.3,2.3,6.5375000000000005,0.3518164435946462
2024-08-27,5.3999999999999995,5.3999999999999995,5.633333333333333,0.9585798816568047
2024-09-03,11.933333333333334,11.933333333333334,6.675,1.787765293383271
2024-09-10,1.65,1.65,5.320833333333333,0.3101018010963195
2024-09-17,0.9833333333333333,0.9833333333333333,4.991666666666666,0.1969949916527546
2024-09-24,10.100000000000001,10.100000000000001,6.166666666666667,1.637837837837838
2024-10-08,9.7,9.7,5.608333333333333,1.7295690936106982
2024-10-29,0.9500000000000001,0.9500000000000001,5.433333333333334,0.17484662576687118
2024-12-31,44.53333333333333,44.53333333333333,16.320833333333333,2.7286188409497063
2025-01-07,27.95,27.95,20.78333333333333,1.3448275862068966
2025-02-25,2.5,2.5,18.98333333333333,0.13169446883230906
2025-03-04,49.6,49.6,31.145833333333332,1.5925083612040134
2025-03-18,41.55,41.55,30.400000000000002,1.3667763157894735
2025-04-01,14.3,14.3,26.9875,0.5298749421028254
2025-04-08,16.983333333333334,16.983333333333334,30.608333333333334,0.5548597876395317
2025-04-15,21.733333333333334,21.733333333333334,23.641666666666666,0.9192809305604512
2025-04-22,158.56666666666666,158.56666666666666,52.89583333333333,2.997715636077196
2025-04-29,66.35000000000001,66.35000000000001,65.90833333333333,1.006701226450879
2025-05-06,46.05,46.05,73.175,0.6293132900580799
2025-05-20,105.38333333333333,105.38333333333333,94.08749999999999,1.1200566848235243
2025-05-27,182.56666666666666,182.56666666666666,100.08749999999999,1.8240706048873903
